POLYGON((44.166444664458595 -65.390625, 43.76712702120528 -65.7257080078125, 43.667871610117494 -65.7806396484375, 43.492782808225 -65.863037109375, 43.59630591596548 -66.0662841796875, 43.78299262890581 -66.181640625, 43.97305156068593 -66.1981201171875, 44.166444664458595 -65.390625))	Yarmouth
POLYGON((44.67255939212045 -64.6710205078125,45.05412098425883 -64.127197265625,45.30580259943578 -64.302978515625,45.37144349133922 -64.5501708984375,45.28648197278284 -64.5941162109375,45.213003555993964 -64.786376953125,45.10066901851988 -65.137939453125, 44.67255939212045 -64.6710205078125))	Kings
POLYGON((43.939439464527474 -64.83856201171875,44.319918120477425 -65.19561767578125,44.78183504339988 -64.423828125,44.62566377574355 -64.0557861328125,44.396504700115536 -63.9678955078125,43.98095752608484 -64.45953369140625,43.90382946360705 -64.654541015625, 43.939439464527474 -64.83856201171875))	Lunenburg
POLYGON((44.62566377574355 -64.0338134765625,44.77013681219717 -64.2315673828125,44.80717308106486 -63.83880615234375,44.873389196779264 -63.77288818359375,44.920084166257624 -63.71795654296875,44.935640729718365 -63.6163330078125,44.94536144236941 -63.51470947265625,45.017243565102596 -63.4185791015625,45.06770141120143 -63.2318115234375,45.02889163330817 -63.19061279296875,44.98422783516648 -63.19061279296875,44.94536144236941 -63.270263671875,44.939529212272305 -63.2318115234375,44.88117432492584 -63.22357177734375,44.85197466334987 -63.1988525390625,44.820812031724444 -63.14666748046875,44.758436211143476 -63.14666748046875,44.695992981720714 -63.18511962890625,44.63543682256858 -63.2208251953125,44.34742225636393 -63.54766845703125,44.34938634389529 -63.896484375,44.42789587633427 -63.9788818359375, 44.62566377574355 -64.0338134765625))	Halifax
POLYGON((44.758436211143476 -64.22332763671875,44.88117432492584 -64.44854736328125,45.00559312697019 -64.1656494140625,45.09097463835656 -64.20135498046875,45.236217535866025 -64.18487548828125,45.27681919090837 -64.039306640625,45.31739181570158 -63.8525390625,45.34056313889858 -63.6492919921875,45.3386325573467 -63.56414794921875,45.33090957287155 -63.48724365234375,45.27488643704894 -63.45977783203125,45.238151606298864 -63.45428466796875,45.19171574701543 -63.4075927734375,45.14524196975275 -63.3856201171875,45.10648485664684 -63.4185791015625,45.00753503123719 -63.4844970703125,44.95508050924061 -63.52569580078125,44.95119307998577 -63.61907958984375,44.92786297463683 -63.720703125,44.883120442385646 -63.78936767578125,44.84613295361055 -63.81683349609375,44.811070253260006 -63.87176513671875,44.80717308106486 -63.93218994140625,44.80327564555043 -63.9898681640625,44.783784518197606 -64.06951904296875, 44.758436211143476 -64.22332763671875))	Hants
POLYGON((45.498647 -63.811340, 45.567910 -63.654785, 45.525592 -63.542175, 45.669725  -63.240051, 45.477466 -62.951660,  45.517895 -62.523193, 45.390735 -62.465515, 45.106485 -63.347168, 45.498647 -63.811340)) 	Colchester
POLYGON((45.36372498305678 -63.8525390625,45.50249699389712 -63.84979248046875,45.590978249451936 -63.63555908203125,45.55252525134013 -63.50372314453125,45.63708709571876 -63.33892822265625,45.813486496799705 -63.1988525390625,46.02557483126793 -64.02557373046875,45.96833360206372 -64.05303955078125,45.97978658492167 -64.16839599609375,45.836454050187726 -64.28375244140625,45.769438866203934 -64.44854736328125,45.67740123855739 -64.48699951171875,45.590978249451936 -64.7039794921875,45.381090145612646 -65.0006103515625,45.21687321093267 -65.050048828125,45.26328853149685 -64.77813720703125,45.30387083299528 -64.6270751953125,45.36372498305678 -64.5391845703125,45.34828480683999 -64.4293212890625,45.32897866218559 -64.28375244140625,45.31739181570158 -63.91845703125,45.31739181570158 -63.84979248046875, 45.36372498305678 -63.8525390625))	Cumberland
POLYGON((45.817315080406246 -63.21807861328125,45.64092778836502 -63.116455078125,45.49094569262732 -62.89398193359375,45.525592487765635 -62.65228271484375,45.525592487765635 -62.4517822265625,45.75410979114989 -62.52593994140625, 45.817315080406246 -63.21807861328125))	Pictou
POLYGON((45.69850658738848 -62.51220703125,45.34249365462379 -62.38311767578125,45.62364259827807 -61.380615234375,45.711933117768446 -61.4959716796875,45.686995566120395 -61.71844482421875,45.769438866203934 -61.83380126953125,45.94351068030586 -61.89697265625,45.80965764997408 -62.14141845703125,45.73110828152976 -62.34466552734375,45.729191061299936 -62.501220703125, 45.69850658738848 -62.51220703125))	Antigonish
POLYGON((45.60250901510302 -61.38336181640625,45.51212126820532 -61.21856689453125,45.452424241343095 -61.20208740234375,45.49672163945861 -60.7708740234375,45.70234306798271 -60.21331787109375,45.87088761346192 -60.68023681640625,45.75985868785574 -60.8258056640625,45.78093290857323 -61.00982666015625, 45.60250901510302 -61.38336181640625))	Richmond
